position	OrthoGroupID	complexity
4641284	OG0003056	0
4639947	OG0003055	0.025
4638853	OG0000694	0.07500000000000001
4637407	OG0000693	0.05
4636351	OG0003054	0.025
4635757	OG0003053	0
4634875	OG0003052	0
4634120	OG0003051	0
4633488	OG0003050	0
4632937	OG0003049	0
4631701	OG0003048	0
4629688	OG0003047	0.07500000000000001
4628664	OG0004385	0.1
4627930	OG0003046	0.1
4626602	OG0003045	0
4625378	OG0003044	0.025
4624466	OG0003537	0.025
4623608	OG0003043	0.07500000000000001
4622434	OG0005089	0.05
4621242	OG0003042	0.05
4620214	OG0003041	0
4618889	OG0003040	0
4617712	OG0003039	0
4616289	OG0003038	0.025
4615111	OG0003037	0.025
4613870	OG0000692	0
4612947	OG0000691	0
4612208	OG0000690	0
4611698	OG0000689	0
4610208	OG0000397	0.07500000000000001
4608984	OG0000688	0.07500000000000001
4608407	OG0000687	0
4608009	OG0000686	0
4607184	OG0000685	0.05
4605921	OG0000396	0.07500000000000001
4605268	OG0000267	0.05
4604498	OG0003036	0.1
4603839	OG0003035	0.07500000000000001
4602472	OG0003034	0.07500000000000001
4601860	OG0003033	0.07500000000000001
4601247	OG0000684	0.07500000000000001
4600606	OG0003032	0.07500000000000001
4599941	OG0003031	0.07500000000000001
4598295	OG0003030	0.07500000000000001
4596500	OG0003312	0.1
4595393	OG0003501	0.22499999999999998
4594041	OG0000161	0.19999999999999998
4592484	OG0003401	0.3
4590203	OG0003400	0.175
4588977	OG0003399	0.07500000000000001
4588386	OG0003398	0.4250000000000001
4587405	OG0004522	0.47500000000000014
4585004	OG0004806	0.47500000000000014
4582253	OG0004144	0.47500000000000014
4580764	OG0004485	0.4250000000000001
4579669	OG0004151	0.47500000000000014
4578656	OG0004309	0.4000000000000001
4577434	OG0005306	0.325
4575494	OG0004734	0.325
4573172	OG0005451	0.3
4571832	OG0004027	0.325
4570867	OG0003978	0.22499999999999998
4567902	OG0003641	0.22499999999999998
4566605	OG0003029	0.125
4565274	OG0003028	0.05
4564305	OG0003027	0.025
4563796	OG0003026	0.05
4563228	OG0003025	0.05
4562085	OG0003024	0.1
4561206	OG0003536	0.1
4560338	OG0003023	0.05
4559769	OG0003022	0.025
4558939	OG0003021	0.025
4557833	OG0003020	0.125
4557188	OG0003019	0.19999999999999998
4556624	OG0004459	0.125
4555904	OG0003582	0.175
4554986	OG0000683	0.15
4554479	OG0004047	0.1
4553630	OG0000682	0.1
4552227	OG0000681	0.15
4550624	OG0003616	0.175
4549258	OG0003615	0.15
4548536	OG0003669	0.05
4548006	OG0003668	0.175
4544666	OG0000082	0.19999999999999998
4544018	OG0000135	0.24999999999999997
4543388	OG0000093	0.175
4542334	OG0003735	0.22499999999999998
4541257	OG0000188	0.175
4539142	OG0003581	0.175
4538211	OG0003558	0.125
4537103	OG0000198	0.27499999999999997
4535522	OG0004205	0.3
4533924	OG0004570	0.22499999999999998
4533511	OG0004620	0.175
4532809	OG0004619	0.22499999999999998
4531090	OG0004618	0.22499999999999998
4529586	OG0004617	0.175
4528513	OG0004616	0.22499999999999998
4527764	OG0004333	0.24999999999999997
4527220	OG0004615	0.22499999999999998
4526496	OG0004614	0.175
4525408	OG0004766	0.22499999999999998
4523110	OG0004765	0.22499999999999998
4521345	OG0004764	0.175
4519830	OG0004763	0.22499999999999998
4517974	OG0004263	0.27499999999999997
4517240	OG0004227	0.15
4515514	OG0004226	0.125
4513856	OG0004225	0.125
4512909	OG0004244	0.125
4511935	OG0004224	0.125
4511073	OG0004243	0.1
4510004	OG0004283	0.15
4506800	OG0004762	0.125
4506510	OG0004805	0.1
4505845	OG0004733	0.125
4504666	OG0004732	0.125
4502766	OG0003601	0.175
4500611	OG0004902	0.175
4496623	OG0004947	0.175
4495699	OG0000680	0.175
4494904	OG0004297	0.025
4493890	OG0004296	0.05
4492968	OG0004204	0.05
4491865	OG0004295	0.05
4490639	OG0004294	0.05
4489311	OG0003018	0.07500000000000001
4487858	OG0003017	0.025
4486778	OG0003016	0
4485195	OG0003015	0
4484058	OG0003014	0
4482409	OG0003013	0.025
4480327	OG0000219	0.025
4479285	OG0003012	0.025
4478680	OG0003011	0
4477808	OG0003010	0.1
4476343	OG0003500	0.125
4475087	OG0000679	0.1
4474420	OG0003667	0.05
4473696	OG0003666	0.025
4473011	OG0003665	0.05
4471927	OG0003009	0.05
4471216	OG0003008	0.025
4470719	OG0003007	0.05
4468972	OG0003006	0.05
4466772	OG0003005	0.025
4465469	OG0003004	0.025
4463881	OG0003003	0.05
4461590	OG0003002	0.05
4460131	OG0003001	0.07500000000000001
4459703	OG0003000	0.07500000000000001
4458634	OG0002999	0.025
4457589	OG0002998	0.025
4456471	OG0002997	0.025
4455109	OG0002996	0.025
4454080	OG0002995	0.025
4453084	OG0002994	0.07500000000000001
4451808	OG0000395	0.07500000000000001
4450439	OG0002993	0.07500000000000001
4449386	OG0002992	0.07500000000000001
